Student_ID,Full_Name,Gender,Date_of_Birth,Age,Region_State,Urban_or_Rural,Language_Proficiency,class,Attendance_Consistency,Date,Status,Reason_for_Absence,Activity_Name,Role,Hours_per_Week,Impact_on_Academics,Parent_ID,Parents_Education_Level,Father_Occupation,Mother_Occupation,Monthly_Income,Parental_Support,Subject,Score,Grade,Teacher_Comments,Exam_Type,Library_Access,Teacher_Hours_Assigned,Study_Materials_Availability,Electricity_Access,Teacher_ID,Name,Subject_Taught,Years_of_Experience,Qualification,Teacher_Student_Ratio
S1,Aminat Danladi,Female,10/07/2000,18,Abuja,Rural,True,SS3,Irregular,11/04/2021,Present,Family Responsibility,Drama,Leader,4,Positive,P1,,Farmer,Civil Servant,95364,High,Physics,77,A,Excellent,Mock exam ,False,23.0,False,False,T1,Emeka Adewale,Biology,2,BSc,34
S2,Chinelo Eze,Female,27/04/2001,17,Ekiti,Rural,True,SS3,Regular,12/04/2021,Absent,,Music,Member,3,Positive,P2,University,Farmer,Trader,150165,Moderate,Physics,75,A,Excellent,School Exam ,False,15.0,True,False,T2,Efe Chukwuma,English,3,NCE,39
S3,Chinedu Igwe,Male,03/06/2002,15,Kaduna,Rural,True,SS2,Irregular,13/04/2021,Present,Family Responsibility,Music,Member,5,Negative,P3,Secondary,Farmer,Housewife,196438,Moderate,English,48,D,Needs Improvement,Mock exam ,True,23.0,False,True,T3,Femi Chukwuma,Mathematics,9,BSc,36
S4,Amiru Ahmed,Male,19/04/2003,18,Kaduna,Urban,True,SS3,Irregular,14/04/2021,Absent,,Drama,Leader,3,Neutral,P4,University,Trader,Teacher,70150,Low,Mathematics,97,A,Excellent,School Exam ,False,13.0,True,True,T4,Tunde Ahmed,Physics,8,BSc,26
S5,Tunde Ibrahim,Male,09/03/2004,17,Borno,Rural,False,SS3,Irregular,15/04/2021,Absent,,Debate,Leader,5,Negative,P5,University,Farmer,Civil Servant,85697,High,English,41,E,Satisfactory,Mock exam ,False,11.0,False,False,T5,Fatima Danladi,English,5,BSc,16
S6,Efe Idowu,Female,23/02/2005,15,Kano,Urban,False,SS1,Irregular,16/04/2021,Absent,Illness,Music,Leader,3,Negative,P6,Secondary,Engineer,Civil Servant,169354,Low,Mathematics,91,A,Excellent,School Exam ,False,10.0,True,True,T6,Grace Ogunleye,Biology,3,MSc,14
S7,Chinedu Adewale,Male,02/05/2006,16,Lagos,Urban,True,SS2,Irregular,17/04/2021,Present,Illness,Drama,Leader,5,Neutral,P7,University,Farmer,Civil Servant,181041,High,English,80,A,Excellent,Mock exam ,False,19.0,True,False,T7,Aisha Chukwuma,Biology,4,BSc,10
S8,Efe Ibrahim,Male,01/01/2007,18,Kaduna,Urban,True,SS3,Irregular,18/04/2021,Absent,Family Responsibility,Drama,Member,5,Negative,P8,Primary,Civil Servant,Trader,135380,Moderate,Physics,91,A,Excellent,School Exam ,False,14.0,True,True,T8,Abdul Adewale,Biology,9,NCE,25
S9,Grace Ogunleye,Female,05/02/2008,17,Lagos,Rural,True,SS2,Irregular,19/04/2021,Present,,Music,Member,3,Negative,P9,,Trader,Teacher,64788,High,Biology,77,A,Excellent,Mock exam ,True,20.0,True,False,T9,Grace Yusuf,Physics,3,BSc,17
S10,Tunde Adewale,Male,26/01/2009,15,Rivers,Rural,True,SS2,Regular,20/04/2021,Present,Family Responsibility,Debate,Leader,2,Negative,P10,University,Farmer,Housewife,82056,Low,Mathematics,86,A,Excellent,School Exam ,True,21.0,False,True,T10,Aisha Ibrahim,English,7,BSc,36
S11,Aisha Yusuf,Female,10/07/2000,18,Yobe,Urban,True,SS3,Irregular,21/04/2021,Absent,,Music,Member,2,Negative,P11,University,Trader,Teacher,134332,Low,Physics,66,B,Satisfactory,Mock exam ,False,15.0,False,False,T11,Abdul Yusuf,English,6,NCE,13
S12,Chinedu Ahmed,Male,27/04/2001,18,Yobe,Urban,True,SS3,Irregular,22/04/2021,Absent,,Drama,Leader,4,Negative,P12,University,Farmer,Trader,106212,High,English,90,A,Excellent,School Exam ,False,13.0,True,True,T12,Aisha Ibrahim,Biology,3,BSc,31
S13,Fatima Ogunleye,Female,03/06/2002,17,Rivers,Urban,True,SS2,Regular,23/04/2021,Present,,Drama,Leader,5,Neutral,P13,,Trader,Teacher,80375,Moderate,Physics,77,A,Excellent,Mock exam ,False,19.0,False,False,T13,Aisha Okafor,Mathematics,8,NCE,26
S14,Grace Ibrahim,Male,19/04/2003,15,Borno,Rural,False,SS2,Regular,24/04/2021,Present,Family Responsibility,Music,Member,5,Negative,P14,University,Civil Servant,Civil Servant,40450,Low,Biology,71,A,Excellent,School Exam ,False,18.0,True,True,T14,Fatima Ogunleye,Physics,5,MSc,40
S15,Emeka Chukwuma,Male,09/03/2004,15,Lagos,Urban,True,SS2,Regular,25/04/2021,Present,Family Responsibility,Drama,Leader,4,Positive,P15,University,Farmer,Trader,86191,High,English,88,A,Excellent,Mock exam ,True,17.0,False,False,T15,Ngozi Yusuf,Physics,7,BSc,33
S16,Fatima Ogunleye,Female,23/02/2005,16,Abuja,Rural,False,SS2,Regular,26/04/2021,Present,Family Responsibility,Debate,Leader,4,Neutral,P16,Secondary,Trader,Teacher,61672,Low,Physics,87,A,Excellent,School Exam ,True,24.0,True,False,T16,Fatima Danladi,Biology,9,NCE,16
S17,Aisha Ibrahim,Female,02/05/2006,15,Lagos,Urban,False,SS2,Irregular,27/04/2021,Present,Financial,Debate,Member,3,Neutral,P17,Secondary,Engineer,Housewife,49288,Low,Biology,50,C,Satisfactory,Mock exam ,True,19.0,False,False,T17,Fatima Danladi,Biology,9,BSc,37
S18,Femi Idowu,Male,01/01/2007,18,Kano,Urban,False,SS3,Irregular,28/04/2021,Absent,Illness,Football,Leader,3,Positive,P18,Primary,Civil Servant,Teacher,139351,High,Mathematics,55,C,Satisfactory,School Exam ,True,15.0,False,False,T18,Ngozi Danladi,English,4,BSc,14
