Student_ID,Full_Name,Gender,Date_of_Birth,Age,Region_State,Urban_or_Rural,Language_Proficiency,class,Attendance_Consistency,Date,Hours_per_Week,Parent_ID,Monthly_Income,Subject,Score,Grade,Teacher_Comments,Exam_Type,Library_Access,Teacher_Hours_Assigned,Study_Materials_Availability,Electricity_Access,Teacher_ID,Name,Subject_Taught,Years_of_Experience,Teacher_Student_Ratio,Parents_Education_Level_Primary,Parents_Education_Level_Secondary,Parents_Education_Level_University,Father_Occupation_Civil Servant,Father_Occupation_Engineer,Father_Occupation_Farmer,Father_Occupation_Trader,Mother_Occupation_Civil Servant,Mother_Occupation_Housewife,Mother_Occupation_Teacher,Mother_Occupation_Trader,Parental_Support_High,Parental_Support_Low,Parental_Support_Moderate,Activity_Name_Debate,Activity_Name_Drama,Activity_Name_Football,Activity_Name_Music,Role_Leader,Role_Member,Impact_on_Academics_Negative,Impact_on_Academics_Neutral,Impact_on_Academics_Positive,Qualification_BSc,Qualification_MSc,Qualification_NCE,Status_Absent,Status_Present,Reason_for_Absence_Family Responsibility,Reason_for_Absence_Financial,Reason_for_Absence_Illness
S1,Aminat Danladi,Female,10/07/2000,18,Abuja,Rural,True,SS3,Irregular,11/04/2021,4,P1,95364,Physics,77,A,Excellent,Mock exam ,False,23.0,False,False,T1,Emeka Adewale,Biology,2,34,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S2,Chinelo Eze,Female,27/04/2001,17,Ekiti,Rural,True,SS3,Regular,12/04/2021,3,P2,150165,Physics,75,A,Excellent,School Exam ,False,15.0,True,False,T2,Efe Chukwuma,English,3,39,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
S3,Chinedu Igwe,Male,03/06/2002,15,Kaduna,Rural,True,SS2,Irregular,13/04/2021,5,P3,196438,English,48,D,Needs Improvement,Mock exam ,True,23.0,False,True,T3,Femi Chukwuma,Mathematics,9,36,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S4,Amiru Ahmed,Male,19/04/2003,18,Kaduna,Urban,True,SS3,Irregular,14/04/2021,3,P4,70150,Mathematics,97,A,Excellent,School Exam ,False,13.0,True,True,T4,Tunde Ahmed,Physics,8,26,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
S5,Tunde Ibrahim,Male,09/03/2004,17,Borno,Rural,False,SS3,Irregular,15/04/2021,5,P5,85697,English,41,E,Satisfactory,Mock exam ,False,11.0,False,False,T5,Fatima Danladi,English,5,16,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
S6,Efe Idowu,Female,23/02/2005,15,Kano,Urban,False,SS1,Irregular,16/04/2021,3,P6,169354,Mathematics,91,A,Excellent,School Exam ,False,10.0,True,True,T6,Grace Ogunleye,Biology,3,14,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
S7,Chinedu Adewale,Male,02/05/2006,16,Lagos,Urban,True,SS2,Irregular,17/04/2021,5,P7,181041,English,80,A,Excellent,Mock exam ,False,19.0,True,False,T7,Aisha Chukwuma,Biology,4,10,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
S8,Efe Ibrahim,Male,01/01/2007,18,Kaduna,Urban,True,SS3,Irregular,18/04/2021,5,P8,135380,Physics,91,A,Excellent,School Exam ,False,14.0,True,True,T8,Abdul Adewale,Biology,9,25,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
S9,Grace Ogunleye,Female,05/02/2008,17,Lagos,Rural,True,SS2,Irregular,19/04/2021,3,P9,64788,Biology,77,A,Excellent,Mock exam ,True,20.0,True,False,T9,Grace Yusuf,Physics,3,17,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
S10,Tunde Adewale,Male,26/01/2009,15,Rivers,Rural,True,SS2,Regular,20/04/2021,2,P10,82056,Mathematics,86,A,Excellent,School Exam ,True,21.0,False,True,T10,Aisha Ibrahim,English,7,36,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
